month,day,seaice_extent_mean,seaice_extent_std,month_day
12,9,28534.86,29938.0,12-09
12,10,27843.78,29882.11,12-10
12,11,30635.95,32706.1,12-11
12,12,32958.18,33461.38,12-12
12,13,33824.62,37295.99,12-13
12,14,35126.65,35597.94,12-14
12,15,36973.81,35922.98,12-15
12,16,39355.6,39593.83,12-16
12,17,38609.99,39642.44,12-17
12,18,41669.63,42590.41,12-18
12,19,42013.7,43230.15,12-19
12,20,43436.43,45710.41,12-20
12,21,45830.21,47705.64,12-21
12,22,51576.91,55146.56,12-22
12,23,50776.25,52234.44,12-23
12,24,52420.12,51064.69,12-24
12,25,54795.15,51694.14,12-25
12,26,56276.62,51834.02,12-26
12,27,58604.18,55602.87,12-27
12,28,58580.53,56031.94,12-28
12,29,61283.37,59015.45,12-29
12,30,64168.99,61356.55,12-30
12,31,66107.51,64153.8,12-31
