time,ice_free,new_young,thin_FY,medium_FY,thick_FY,multiyear
2024-12-20,7246.954258431209,93096.11221979835,216711.13869781626,171162.0234639881,0.0,0.0
2024-12-21,7246.954258431209,82856.55689682794,209860.5308505619,188252.18663421288,0.0,0.0
2024-12-22,7246.954258431209,75800.96021761448,207369.61487809988,197798.6992858883,0.0,0.0
2024-12-23,7246.954258431209,69495.08259675824,205414.9483144069,206059.24347043756,0.0,0.0
2024-12-24,7246.954258431209,62425.54858955566,215253.9829807685,203289.74281127856,0.0,0.0
2024-12-25,7246.954258431209,46007.43605829631,216104.11366964434,218857.72465366204,0.0,0.0
2024-12-26,7246.954258431209,37203.86113654496,221105.5040848264,222659.90916023133,0.0,0.0
2024-12-27,7246.954258431209,16370.683323810339,250912.168426122,213686.42263167034,0.0,0.0
2024-12-28,7246.954258431209,20733.318033738633,237260.17265859156,222975.7836892725,0.0,0.0
2024-12-29,7246.954258431209,15171.949036099952,211713.22673264722,254084.09861285554,0.0,0.0
2024-12-30,7246.954258431209,14359.557175071266,212961.4709450493,253648.24626148213,0.0,0.0
2024-12-31,7246.954258431209,11918.156322518771,218315.05134806747,250736.06671101646,0.0,0.0
2025-01-01,7246.954258431209,16143.617655338981,211031.6395578528,253794.01716841094,0.0,0.0
2025-01-02,7246.954258431209,16686.770712887475,215421.62709488522,248860.87657382997,0.0,0.0
2025-01-03,7246.954258431209,24387.579631202683,198261.14085985397,258320.55389054606,0.0,0.0
2025-01-04,7246.954258431209,15946.46216404903,215354.90353922194,249667.90867833173,0.0,0.0
2025-01-05,7246.954258431209,17484.472481308585,205894.53641223532,257590.26548805882,0.0,0.0
2025-01-06,7246.954258431209,17967.53227381333,207522.0870529028,255479.6550548866,0.0,0.0
2025-01-07,7246.954258431209,22855.2609343508,193584.178248069,264529.8351991829,0.0,0.0
2025-01-08,7246.954258431209,22924.629037834093,175664.9377975326,280935.58406876476,1444.1234774712225,0.0
2025-01-09,7246.954258431209,24844.821960692694,167423.8766363614,282559.1755601621,6141.400224386483,0.0
2025-01-10,7246.954258431209,31627.58460741603,157794.73929413612,291508.4676947406,38.4827853098926,0.0
2025-01-11,7246.954258431209,36312.8104608736,155654.8251222826,289001.6387984465,0.0,0.0
2025-01-12,7246.954258431209,25855.705834187247,164710.49355786364,290403.0749895518,0.0,0.0
2025-01-13,7246.954258431209,18976.745966732036,163284.35938303266,298708.16903183796,0.0,0.0
2025-01-14,7246.954258431209,17047.7797028051,149667.57995452755,312821.06764562975,1432.8470786402656,0.0
2025-01-15,7246.954258431209,12879.450086792198,150330.30232386047,316234.82478698366,1524.6971839663215,0.0
2025-01-16,7246.954258431209,9886.637329577736,114739.02995892777,340622.44237620913,15721.164716888055,0.0
2025-01-17,7246.954258431209,2732.39776962439,117795.97265225655,339779.02490037074,20661.87905935102,0.0
2025-01-18,7246.954258431209,0.0,94590.10641447514,362295.7787275179,24083.38923960962,0.0
2025-01-19,7246.954258431209,0.0,60456.4492142125,395281.6082975043,25231.2168698859,0.0
2025-01-20,7246.954258431209,0.0,48022.91932890378,396727.3770128591,36218.97803983984,0.0
2025-01-21,7246.954258431209,0.0,37634.22609395548,397644.98695745406,45690.06133019317,0.0
2025-01-22,7246.954258431209,0.0,39064.91562549973,381815.9621317865,60088.39662431644,0.0
2025-01-23,7246.954258431209,0.0,33327.13966878167,367596.66598689207,80045.46872592895,0.0
